4/06/2024 7:41:04 p. m.	Este registro contiene información acerca de la operación de importación de esquema en el proyecto 'AirisDataBaseRepos' del equipo 'DESKTOP-IEOP1NV' por el usuario 'USUARIO'.
4/06/2024 7:41:05 p. m.	Se inició la importación del esquema de la base de datos.
4/06/2024 7:41:21 p. m.	Recopilando credenciales de la base de datos
4/06/2024 7:41:21 p. m.	Recopilando opciones de base de datos
4/06/2024 7:41:21 p. m.	Recopilando la opción de configuración de ámbito de la base de datos genérica
4/06/2024 7:41:21 p. m.	Recopilando usuarios
4/06/2024 7:41:21 p. m.	Recopilando roles
4/06/2024 7:41:21 p. m.	Recopilando roles de aplicación
4/06/2024 7:41:21 p. m.	Recopilando pertenencias a roles
4/06/2024 7:41:21 p. m.	Recopilando grupos de archivos
4/06/2024 7:41:21 p. m.	Recopilando catálogos de texto completo
4/06/2024 7:41:21 p. m.	Recopilando ensamblados
4/06/2024 7:41:21 p. m.	Recopilando certificados
4/06/2024 7:41:21 p. m.	Recopilando claves asimétricas
4/06/2024 7:41:21 p. m.	Recopilando claves simétricas
4/06/2024 7:41:21 p. m.	Recopilando claves simétricas cifradas
4/06/2024 7:41:21 p. m.	Recopilando esquemas
4/06/2024 7:41:21 p. m.	Recopilando colecciones de esquemas XML
4/06/2024 7:41:21 p. m.	Recopilando tipos de datos definidos por el usuario
4/06/2024 7:41:21 p. m.	Recopilando tipos definidos por el usuario
4/06/2024 7:41:21 p. m.	Recopilando tipos de tabla
4/06/2024 7:41:21 p. m.	Recopilando claves únicas para tipos de tabla
4/06/2024 7:41:21 p. m.	Recopilando claves principales para tipos de tabla
4/06/2024 7:41:22 p. m.	Recopilando índices para tipos de tablas
4/06/2024 7:41:22 p. m.	Recopilando restricciones CHECK para tipos de tabla
4/06/2024 7:41:22 p. m.	Recopilando restricciones DEFAULT para tipos de tabla
4/06/2024 7:41:22 p. m.	Recopilando funciones de partición
4/06/2024 7:41:22 p. m.	Recopilando esquemas de partición
4/06/2024 7:41:22 p. m.	Recopilando funciones
4/06/2024 7:41:22 p. m.	Recopilando funciones cifradas
4/06/2024 7:41:22 p. m.	Recopilando agregados
